ANATOMY,Interdune,Stoss,Lee,Interdune,Interdune,Interdune,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,"Interdune, Depth",Lee,"Stoss, Depth",Interdune,Stoss,Stoss,Lee,Lee,Lee,Stoss,Stoss,Lee,Stoss,Lee,"Stoss, Star","Stoss, Star","Lee, Star","Stoss, Star","Stoss, Star",Stoss,Lee,Stoss,Stoss,Lee,Lee,Lee,Lee,Interdune,Interdune,Stoss,Stoss,Stoss,Lee,Lee,Interdune,Lee,"Stoss, Crest",Lee,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",,,,,,,
Zotu,MF.4B,MF.5B,MF.6B,MF.7B,MF.8B,MF.11A,MF.12A,MF.13A,MF.14B,MF.15A,MF.16A,MF.17A,MF.18B,MF.19A,MF.20A,MF.27B,MF.28A,MF.30A,MF.31B,MF.33A,ED.01A,ED.02B,ED.03A,ED.04A,ED.05A,ED.06A,ED.08A,ED.09A,ED.10A,ED.11A,ED.12A,ED.13A,ED.14B,ED.15B,ED.16A,ED.17B,ED.18A,ED.19A,ED.20A,ED.21A,ED.22A,ED.23A,ED.24A,ED.33A,IX.1B,IX.2A,IX.3A,IX.4B,IX.5A,IX.6A,IX.7A,IX.8A,IX.9A,IX.10A,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu5,1.2403902060856644,1.230817413091137,0.5456541392225236,0.5630748784667576,0.15540310048137057,0.12342162726668565,1.0351258936897731,1.0551543824701195,1.542111506524318,3.7088431941465876,1.3163333439318305,0.9125794073070845,0.11053675347052895,1.7923964655199525,0.4756010163528569,0.07356704196519959,0.140632503258558,0.3357099466061323,0.5845380263984915,1.4565702960329694,0.15481873306670108,0.9799968987439913,1.0085213672485878,0.10259416678880258,0.8950597760769181,0.23595023595023595,0.89913109180204,1.42415440832006,0.5275610691904336,1.2924889916685147,0.11074547525629667,1.0579263345773162,0.3417701112364985,0.6157201039027675,0.6852220445720625,0.09292754969964488,1.270905124719421,1.3970541753587458,0.0696599328731556,1.362084914989314,0.1462933351478243,2.47599797877716,2.691079689841663,0.10842067220816769,0.18005272972799177,3.888888888888889,2.372408293460925,1.3700812490043015,2.510406246974928,4.3226196922880895,1.5224562293834054,0.4343175704145464,0.2853201229071298,0.5253104106972302,0.08589884551951621,0.09003301210443829,0.15194556385016844,0.06847751654873316,0.11392574721887147,0.14532963403355795,0.3440218096845385,0.6010735752627688,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides jensenii
Zotu62,13.4084889204729,0.03445036016285625,0.048430840759395584,0.052460392403735186,0.09854830762233258,0.1708914839077186,0.14920733602735467,0.06847609561752989,0.05129684844987336,0.15768891131575627,0.05405233537884328,0.11286317758214827,0.048766214766409834,0.06289110405333165,0.055378200534236754,0.4382036847492323,0.08918158743225629,0.08632541484157688,0.034569453174104335,0.5977286312014346,0.06450780544445878,0.037215072104202204,0.11808636262087896,0.02931261908251502,0.07590612941995066,0.045964331678617396,0.25689459765772577,0.0655860582778975,0.060749456452231745,0.0791966293914531,0.06011897228198962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter parietis
Zotu15,19.07422960139544,0.3194487942373943,0.3809892806405786,0.09792606582030568,0.13645150286169125,0.452545966644514,0.5066832452595587,0.12450199203187251,0.10900580295598089,0.24599470165257978,0.19395249753584942,0.31924155944664795,0.06827270067297375,0.286154523442659,0.35832953286859076,2.5588536335721597,0.19894354119503327,0.32292099625923204,0.05656819610307982,1.5540944411237299,0.6031479809056897,0.08683516824313847,0.24574729518399133,0.0989300894034882,0.0853943955974445,0.08886437457866028,0.23800528900642237,0.12492582529123333,0.099117534211536,0.1995755060664618,0.12340210099987343,0.006490345610903781,0.012896985329679188,0.0064137510823204956,0.009788886351029464,0.013275364242806412,0.01264582213651165,0.012643024211391365,0.022164524096004053,0.006379788828989761,0.0068043411696662465,0.009474482061647296,0.006515931452401121,0.016062321808617434,1.485435020255932,0.012919896640826873,0.023258904837852205,0.025489883702405607,0.003226743248039754,0.009556270506163794,0.11101243339253995,0.19447055391696108,0.06584310528626074,0.09232728430436167,0.0,0.01333822401547234,0.0066063288630508026,0.013043336485472984,0.016753786355716394,0.006605892456070815,0.012981955082435416,0.0771431326540452,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter aquaticus
Zotu66,0.9109115575941598,0.46977763858440336,0.12269146325713548,0.041968313922988144,0.01895159761967934,0.018987942656413178,3.73640037301834,1.0800547808764942,0.10900580295598089,0.3879147218367604,0.022256843979523704,0.29666892393021826,0.03576189082870054,0.22955252979466054,0.2540882142159098,0.45099795291709316,0.07546134321190917,0.04476132621415097,0.018856065367693277,0.04404316229905307,0.05483163462778996,0.037215072104202204,0.03829827976893371,0.04030485123845816,0.050604086279967105,0.045964331678617396,0.04911220249338874,0.034354601955089166,0.0639467962655071,0.06335730351316249,0.050626502974307055,0.0,0.006448492664839594,0.009620626623480743,0.01631481058504911,0.003318841060701603,0.006322911068255825,0.0031607560528478414,0.006332721170286872,0.0031898944144948807,0.0034021705848331233,0.3000252652854977,0.013031862904802242,0.004015580452154359,0.37939682335541125,0.0,0.006645401382243488,0.0,0.006453486496079508,0.009556270506163794,0.006343567622430856,0.33384111755744983,0.5925879475763466,0.003183699458771092,0.0,0.003334556003868085,0.009909493294576204,0.006521668242736492,0.0033507572711432786,0.006605892456070815,0.006490977541217708,0.0192857831635113,bacteria,pseudomonadota,gammaproteobacteria,pseudomonadales,pseudomonadaceae,pseudomonas,pseudomonas fragi
Zotu766,1.2306996576006202,0.0,0.012914890869172154,0.003497359493582345,0.0037903195239358677,0.006329314218804392,0.015542430836182779,0.01245019920318725,0.0,0.09776712501576888,0.0031795491399319573,0.01612331108316404,0.0,0.006289110405333166,0.0032575412078962797,0.0063971340839304,0.0034300610550867805,0.0,0.006285355122564425,0.012583760656872308,0.009676170816668817,0.0,0.0031915233140778097,0.010992232155943134,0.0,0.012257155114297973,0.007555723460521345,0.0,0.009592019439826065,0.009503595526974372,0.006328312871788382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,bacillota,bacilli,bacillales,paenibacillaceae,paenibacillus,paenibacillus yonginensis
Zotu5726,0.0032301828283480844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03497504053925154,0.06126858211602334,0.0,0.003144555202666583,0.0032575412078962797,0.0031985670419652,0.0,0.003197237586725069,0.0,0.0,0.003225390272222939,0.0,0.0,0.0,0.0,0.0,0.0,0.0031231456322808335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,geodermatophilus,geodermatophilus bullaregiensis
Zotu282,0.881839912139027,0.0970873786407767,0.10654784967067028,0.00699471898716469,0.045483834287230414,0.009493971328206589,0.012433944668946222,0.13695219123505978,0.028854477253053765,0.03784533871578151,0.009538647419795872,0.1193125020154139,0.0065021619688546434,0.10691487689066383,0.052120659326340475,0.0127942681678608,0.06517116004664883,0.08632541484157688,0.06285355122564425,0.012583760656872308,0.1741710747000387,0.17367033648627694,0.012766093256311239,0.01832038692657189,0.02213928774748561,0.003064288778574493,0.022667170381564034,0.0281083106905275,0.14388029159739096,0.060189438337504356,0.12656625743576763,0.3731948726269674,0.00967273899725939,0.0032068755411602478,0.009788886351029464,0.009956523182104809,0.13278113243337233,0.0031607560528478414,0.006332721170286872,0.009569683243484641,0.01020651175449937,0.06632137443153108,0.49521079038248517,0.016062321808617434,0.25400295800913125,0.012919896640826873,0.0,0.009558706388402102,0.012906972992159016,0.009556270506163794,0.12052778482618624,0.13612938774187275,0.13168621057252147,0.07640878701050621,0.02061572292468389,0.010003668011604254,0.0066063288630508026,0.006521668242736492,0.02680605816914623,0.023120623596247853,0.01622744385304427,0.15750056250200892,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter globiformis
Zotu7,3.4918276374442794,1.0710930159724397,1.3463773731111972,1.1191550379463506,0.39798355001326613,0.39558213867527453,0.7522536524712465,1.297933266932271,0.4167868936552211,2.157184306799546,0.09856602333789069,1.073812518138725,0.1332943203615202,1.2987012987012987,2.5050491888722393,0.23029682702149437,0.8643753858818687,0.6554337052786393,0.05971087366436204,0.8085066222040458,9.32782866726874,0.2512017367033649,0.38298279768933713,0.16121940495383263,0.6610158770320703,0.18998590427161857,0.26445032111824707,0.8526187576126675,0.7545721959329837,2.5944815788640034,0.39551955448677384,0.5127373032613987,2.2892148960180556,0.48744508225635763,0.6721701961040233,0.09292754969964488,0.4584110524485473,1.1347114229723751,0.15198530808688493,0.1754441927972184,0.07484775286632872,0.7579585649317837,2.9061054277708998,0.3091996948158856,1.1510513793325188,0.03229974160206719,0.07309941520467836,0.05416600286761191,0.06453486496079507,0.07963558755136495,0.1712763258056331,1.7210644021651056,0.391923245751552,1.2289079910856415,0.03092358438702584,0.04001467204641702,0.04624430204135562,0.035869175335050706,0.03350757271143279,0.056150085876601925,0.048682331559132805,0.6332165472019543,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu58,0.8075457070870212,0.3476354525524585,0.24215420379697794,0.12590494176896444,0.056854792859038016,0.15506819836070762,0.10258004351880634,0.47622011952191234,0.13465422718091757,0.10722845969471427,0.1653365552764618,0.35793750604624164,0.026008647875418574,0.22955252979466054,0.2540882142159098,0.4254094165813715,0.15435274747890512,0.03516961345397577,0.021998742928975485,0.06291880328436153,0.3225390272222939,0.037215072104202204,0.9766061341078096,0.01832038692657189,0.07590612941995066,0.18385732671446958,0.9293539856441255,0.3279302913894875,0.3836807775930426,1.2481388792093009,0.025313251487153528,0.710692844393964,0.04191520232145736,0.2693775454574608,0.1533592194994616,0.02986956954631443,0.5532547184723847,0.44566660345154563,0.24064340447090116,0.8229927589396792,0.04763038818766373,1.3232693279434058,0.0325796572620056,0.13251415492109384,0.5658800077165456,0.03229974160206719,0.04319510898458267,0.05416600286761191,0.06776160820883483,0.04141050552670977,0.1871352448617102,0.44079992221177844,0.21634163165485673,0.6462909901305317,0.02061572292468389,0.010003668011604254,0.0066063288630508026,0.019565004728209476,0.016753786355716394,0.016514731140177038,0.03570037647669739,0.6878595994985697,bacteria,actinomycetota,actinomycetes,mycobacteriales,corynebacteriaceae,corynebacterium,corynebacterium vitaeruminis
